kind,causal,head,worker,request_payload_bytes,response_payload_bytes,elapsed_us,decode_us,compute_us,max_abs_error,max_relative_error,failed_elements,status
head,0,0,0,16420,16400,149372,351,95536,8.047442833780671e-07,4.3382343626125085e-05,0,PASS
head,0,1,0,16420,16400,157190,351,95538,9.316367832745698e-07,0.0005444488100807155,0,PASS
head,0,2,0,16420,16400,155875,354,95538,8.306448515682519e-07,0.0006066354064450289,0,PASS
head,0,3,0,16420,16400,158249,352,95527,7.788435249511672e-07,9.876512522487221e-05,0,PASS
full,0,-1,-1,65680,65600,622005,1408,382139,9.316367832745698e-07,0.0006066354064450289,0,PASS
head,1,0,0,16420,16400,108432,352,50238,2.710881394918374e-06,0.01124417129620184,0,PASS
head,1,1,0,16420,16400,110155,355,50234,2.9041002704843777e-06,0.0011946359977387416,0,PASS
head,1,2,0,16420,16400,106864,351,50235,2.715298556665857e-06,0.0006066354064450289,0,PASS
head,1,3,0,16420,16400,106568,351,50241,3.1735920682507412e-06,0.0010481871430705933,0,PASS
full,1,-1,-1,65680,65600,434073,1409,200948,3.1735920682507412e-06,0.01124417129620184,0,PASS
