sequence,head_dimension,causal,kernel,median_us,min_us,workspace_bytes,working_set_bytes,max_abs_error,max_relative_error,failed_elements,status
8,8,0,materialized_ref,2549,2543,256,1280,0,0,0,PASS
8,8,0,tiled_online_exact,2566,2560,64,1088,1.1920929e-07,3.36804675e-07,0,PASS
8,8,0,tiled_online_fast_exp,2622,2616,64,1088,1.1920929e-07,4.41027197e-07,0,PASS
8,8,0,int8_materialized,2073,2072,256,704,0.000966951251,0.0073043718,0,PASS
8,8,0,int8_tiled_online,2074,2073,64,512,0.000966951251,0.0073043718,0,PASS
8,8,0,int8_qk_int16_v_materialized,2074,2074,256,768,0.000276491046,0.00197544857,0,PASS
8,8,0,int8_qk_int16_v_tiled_online,2070,2070,64,576,0.000276491046,0.00197544857,0,PASS
16,16,0,materialized_ref,16608,16602,1024,5120,0,0,0,PASS
16,16,0,tiled_online_exact,17349,17348,96,4192,5.96046448e-08,8.60066575e-06,0,PASS
16,16,0,tiled_online_fast_exp,17704,17698,96,4192,2.08616257e-07,5.91579446e-05,0,PASS
16,16,0,int8_materialized,12594,12587,1024,2816,0.00112198293,0.331709385,0,PASS
16,16,0,int8_tiled_online,13294,13293,96,1888,0.00112198293,0.331699908,0,PASS
16,16,0,int8_qk_int16_v_materialized,12581,12575,1024,3072,0.000216636807,0.0419562496,0,PASS
16,16,0,int8_qk_int16_v_tiled_online,13238,13237,96,2144,0.000216621906,0.0419580825,0,PASS
32,16,0,materialized_ref,66742,66736,4096,12288,0,0,0,PASS
32,16,0,tiled_online_exact,70778,70772,96,8288,7.4505806e-08,0.000109985718,0,PASS
32,16,0,tiled_online_fast_exp,72418,72417,96,8288,1.34110451e-07,0.00065435021,0,PASS
32,16,0,int8_materialized,50366,50366,4096,7680,0.000761963427,4.34091806,0,PASS
32,16,0,int8_tiled_online,54567,54562,96,3680,0.000761970878,4.34088421,0,PASS
32,16,0,int8_qk_int16_v_materialized,50292,50291,4096,8192,0.000148877501,0.0883602947,0,PASS
32,16,0,int8_qk_int16_v_tiled_online,54302,54302,96,4192,0.0001488626,0.0883820951,0,PASS
32,32,0,materialized_ref,116670,116663,4096,20480,0,0,0,PASS
32,32,0,tiled_online_exact,124524,124518,160,16544,7.4505806e-08,2.8887689e-05,0,PASS
32,32,0,tiled_online_fast_exp,126167,126167,160,16544,1.49244443e-07,0.000340577768,0,PASS
32,32,0,int8_materialized,84471,84470,4096,11264,0.00100823492,1.95674932,0,PASS
32,32,0,int8_tiled_online,91863,91856,160,7328,0.00100823492,1.95676601,0,PASS
32,32,0,int8_qk_int16_v_materialized,84314,84312,4096,12288,0.00015000999,0.124892369,0,PASS
32,32,0,int8_qk_int16_v_tiled_online,91312,91312,160,8352,0.00015000999,0.124889269,0,PASS
64,32,0,materialized_ref,466684,466678,16384,49152,0,0,0,PASS
64,32,0,tiled_online_exact,501850,501849,160,32928,8.94069672e-08,0.000132481859,0,PASS
64,32,0,tiled_online_fast_exp,508973,508967,160,32928,1.1920929e-07,0.000917006866,0,PASS
64,32,0,int8_materialized,335902,335895,16384,30720,0.000744767487,8.11290264,0,PASS
64,32,0,int8_tiled_online,371119,371118,160,14496,0.000744760036,8.11290264,0,PASS
64,32,0,int8_qk_int16_v_materialized,335325,335324,16384,32768,0.000128846616,0.993103981,0,PASS
64,32,0,int8_qk_int16_v_tiled_online,368958,368958,160,16544,0.000128857791,0.993010223,0,PASS
64,32,1,materialized_ref,236855,236849,16384,49152,0,0,0,PASS
64,32,1,tiled_online_exact,255117,255116,160,32928,8.94069672e-08,0.000761378382,0,PASS
64,32,1,tiled_online_fast_exp,258954,258948,160,32928,2.23517418e-07,0.00139046251,0,PASS
64,32,1,int8_materialized,171213,171213,16384,30720,0.00364530087,14.8076696,6,FAIL
64,32,1,int8_tiled_online,188708,188702,160,14496,0.00364530087,14.8076134,6,FAIL
64,32,1,int8_qk_int16_v_materialized,170919,170914,16384,32768,0.000369222835,0.677774787,0,PASS
64,32,1,int8_qk_int16_v_tiled_online,187603,187597,160,16544,0.000369222835,0.677774787,0,PASS
64,64,0,materialized_ref,862985,862985,16384,81920,0,0,0,PASS
64,64,0,tiled_online_exact,932202,932202,288,65824,7.4505806e-08,9.83424543e-05,0,PASS
64,64,0,tiled_online_fast_exp,939341,939339,288,65824,1.34110451e-07,0.00025541865,0,PASS
64,64,0,int8_materialized,603927,603927,16384,45056,0.000777799636,3.52593732,0,PASS
