sequence,head_dimension,causal,kernel,median_us,min_us,workspace_bytes,working_set_bytes,max_abs_error,max_relative_error,failed_elements,status
8,8,0,materialized_ref,2550,2543,256,1280,0,0,0,PASS
8,8,0,tiled_online_exact,2567,2560,64,1088,1.1920929e-07,3.36804675e-07,0,PASS
8,8,0,tiled_online_fast_exp,2623,2617,64,1088,1.1920929e-07,4.41027197e-07,0,PASS
16,16,0,materialized_ref,16609,16602,1024,5120,0,0,0,PASS
16,16,0,tiled_online_exact,17351,17350,96,4192,5.96046448e-08,8.60066575e-06,0,PASS
16,16,0,tiled_online_fast_exp,17707,17701,96,4192,2.08616257e-07,5.91579446e-05,0,PASS
32,16,0,materialized_ref,66749,66743,4096,12288,0,0,0,PASS
32,16,0,tiled_online_exact,70786,70779,96,8288,7.4505806e-08,0.000109985718,0,PASS
32,16,0,tiled_online_fast_exp,72438,72432,96,8288,1.34110451e-07,0.00065435021,0,PASS
32,32,0,materialized_ref,116676,116669,4096,20480,0,0,0,PASS
32,32,0,tiled_online_exact,124532,124526,160,16544,7.4505806e-08,2.8887689e-05,0,PASS
32,32,0,tiled_online_fast_exp,126182,126182,160,16544,1.49244443e-07,0.000340577768,0,PASS
64,32,0,materialized_ref,466709,466703,16384,49152,0,0,0,PASS
64,32,0,tiled_online_exact,501880,501880,160,32928,8.94069672e-08,0.000132481859,0,PASS
64,32,0,tiled_online_fast_exp,509035,509034,160,32928,1.1920929e-07,0.000917006866,0,PASS
64,32,1,materialized_ref,236867,236861,16384,49152,0,0,0,PASS
64,32,1,tiled_online_exact,255132,255132,160,32928,8.94069672e-08,0.000761378382,0,PASS
64,32,1,tiled_online_fast_exp,258985,258985,160,32928,2.23517418e-07,0.00139046251,0,PASS
64,64,0,materialized_ref,863011,863010,16384,81920,0,0,0,PASS
64,64,0,tiled_online_exact,932233,932232,288,65824,7.4505806e-08,9.83424543e-05,0,PASS
64,64,0,tiled_online_fast_exp,939408,939402,288,65824,1.34110451e-07,0.00025541865,0,PASS
96,32,0,materialized_ref,1050732,1050726,36864,86016,0,0,0,PASS
96,32,0,tiled_online_exact,1132339,1132338,160,49312,1.63912773e-07,0.000685766456,0,PASS
96,32,0,tiled_online_fast_exp,1148820,1148814,160,49312,1.1920929e-07,0.00190535444,0,PASS
128,32,0,materialized_ref,1865608,1865602,65536,131072,0,0,0,PASS
128,32,0,tiled_online_exact,2015185,2015185,160,65696,8.94069672e-08,6.85813138e-05,0,PASS
128,32,0,tiled_online_fast_exp,2044809,2044809,160,65696,9.68575478e-08,0.000213472944,0,PASS
