kind,causal,head,worker,request_payload_bytes,response_payload_bytes,elapsed_us,decode_us,compute_us,max_abs_error,max_relative_error,failed_elements,status
head,0,0,0,534,528,13962,18,6888,0.00018741138616984107,0.23320726744401352,0,PASS
head,0,1,0,534,528,13525,18,6850,0.0002933137028199445,0.14218696313156773,0,PASS
head,0,2,0,534,528,15220,18,6888,0.00015597589096152942,0.028869039802908305,0,PASS
head,0,3,0,534,528,13440,18,6834,0.00014791396797009075,0.1565965267712847,0,PASS
full,0,-1,-1,2136,2112,58138,72,27460,0.00018016147567304075,3.1595390342400353,0,PASS
head,1,0,0,534,528,12256,18,3706,0.00040669779924512595,0.19185915721374652,0,PASS
head,1,1,0,534,528,10376,18,3683,0.00032297673544982863,0.033417109680630955,0,PASS
head,1,2,0,534,528,11004,18,3700,0.00023990326726923417,0.05540126530639828,0,PASS
head,1,3,0,534,528,10934,18,3677,0.0004019255478948103,0.04558194803641668,0,PASS
full,1,-1,-1,2136,2112,45538,72,14766,0.00023173896650144354,0.17054542062561173,0,PASS
