kind,causal,head,shard,worker,request_payload_bytes,response_payload_bytes,elapsed_us,decode_us,compute_us,max_abs_error,max_relative_error,failed_elements,status
shard,0,0,0,0,250,660,8632,11,1843,,,0,PASS
shard,0,0,1,0,250,660,9435,11,1347,,,0,PASS
shard,0,0,2,0,250,660,9382,11,1842,,,0,PASS
shard,0,0,3,0,250,660,8636,11,1356,,,0,PASS
shard,0,1,0,0,250,660,9245,11,1831,,,0,PASS
shard,0,1,1,0,250,660,10284,11,1349,,,0,PASS
shard,0,1,2,0,250,660,8906,11,1833,,,0,PASS
shard,0,1,3,0,250,660,8229,11,1348,,,0,PASS
shard,0,2,0,0,250,660,8524,11,1843,,,0,PASS
shard,0,2,1,0,250,660,8494,11,1350,,,0,PASS
shard,0,2,2,0,250,660,8750,11,1845,,,0,PASS
shard,0,2,3,0,250,660,8023,11,1368,,,0,PASS
shard,0,3,0,0,250,660,8487,11,1833,,,0,PASS
shard,0,3,1,0,250,660,7844,11,1346,,,0,PASS
shard,0,3,2,0,250,660,8687,11,1821,,,0,PASS
shard,0,3,3,0,250,660,9480,11,1358,,,0,PASS
head_merge,0,0,-1,-1,1000,2640,9435,44,6388,0.00018741244263192902,0.23321494214338392,0,PASS
head_merge,0,1,-1,-1,1000,2640,10284,44,6361,0.0002933192702993734,0.14217897103072485,0,PASS
head_merge,0,2,-1,-1,1000,2640,8750,44,6406,0.00015596548611820915,0.028868951553139757,0,PASS
head_merge,0,3,-1,-1,1000,2640,9480,44,6358,0.00014791415707393445,0.156597852871783,0,PASS
full,0,-1,-1,-1,4000,10560,152262,176,25513,0.0001801651966072959,3.159573694307542,0,PASS
shard,1,0,0,0,250,660,8414,11,1637,,,0,PASS
shard,1,0,1,0,250,660,8396,11,882,,,0,PASS
shard,1,0,2,0,250,660,8718,11,760,,,0,PASS
shard,1,0,3,0,250,660,7213,11,248,,,0,PASS
shard,1,1,0,0,250,660,8935,11,1626,,,0,PASS
shard,1,1,1,0,250,660,7878,11,885,,,0,PASS
shard,1,1,2,0,250,660,9728,11,752,,,0,PASS
shard,1,1,3,0,250,660,6887,11,248,,,0,PASS
shard,1,2,0,0,250,660,9119,11,1636,,,0,PASS
shard,1,2,1,0,250,660,8173,11,887,,,0,PASS
shard,1,2,2,0,250,660,7370,11,756,,,0,PASS
shard,1,2,3,0,250,660,7670,11,248,,,0,PASS
shard,1,3,0,0,250,660,8913,11,1629,,,0,PASS
shard,1,3,1,0,250,660,10307,11,884,,,0,PASS
shard,1,3,2,0,250,660,8941,11,747,,,0,PASS
shard,1,3,3,0,250,660,7378,11,249,,,0,PASS
head_merge,1,0,-1,-1,1000,2640,8718,44,3527,0.00040668688318096224,0.1918653696638524,0,PASS
head_merge,1,1,-1,-1,1000,2640,9728,44,3511,0.0003229876157491013,0.03341703036209517,0,PASS
head_merge,1,2,-1,-1,1000,2640,9119,44,3527,0.0002399024016355479,0.05540464717323071,0,PASS
head_merge,1,3,-1,-1,1000,2640,10307,44,3509,0.00040193335913246697,0.045601317912906364,0,PASS
full,1,-1,-1,-1,4000,10560,142536,176,14074,0.00023173673329253408,0.17056499841498868,0,PASS
