kind,causal,head,worker,request_payload_bytes,response_payload_bytes,elapsed_us,decode_us,compute_us,max_abs_error,max_relative_error,failed_elements,status
head,0,0,0,16420,16400,1430890,405,1381571,7.292132556679931e-07,2.36891873763199e-05,0,PASS
head,0,1,0,16420,16400,1429018,398,1381024,8.124274937237885e-07,2.484443286564312e-05,0,PASS
head,0,2,0,16420,16400,1428696,398,1383025,9.516693840749824e-07,0.0005689758030343013,0,PASS
head,0,3,0,16420,16400,1432917,404,1383200,8.086458473388625e-07,0.0001606258244847669,0,PASS
full,0,-1,-1,65680,65600,5731378,1605,5528820,9.516693840749824e-07,0.0005689758030343013,0,PASS
head,1,0,0,16420,16400,755611,530,696920,2.710881394918374e-06,0.011319289135636188,0,PASS
head,1,1,0,16420,16400,767340,399,696777,2.658626547358267e-06,0.000741396816762647,0,PASS
head,1,2,0,16420,16400,766053,398,698303,2.2804230699335903e-06,0.00017744122010655958,0,PASS
head,1,3,0,16420,16400,785088,404,698270,3.1735920682507412e-06,0.0038727809259595553,0,PASS
full,1,-1,-1,65680,65600,3063926,1731,2790270,3.1735920682507412e-06,0.011319289135636188,0,PASS
