kind,causal,head,worker,scheduler,assignment,calibration_us,request_payload_bytes,response_payload_bytes,elapsed_us,decode_us,compute_us,max_abs_error,max_relative_error,failed_elements,status
head,0,0,1,calibrated,1;1;1;1,3448341;152154,16420,16400,154755,351,95545,8.047442833780671e-07,4.3382343626125085e-05,0,PASS
head,0,1,1,calibrated,1;1;1;1,3448341;152154,16420,16400,154884,355,95532,9.316367832745698e-07,0.0005444488100807155,0,PASS
head,0,2,1,calibrated,1;1;1;1,3448341;152154,16420,16400,156142,351,95552,8.306448515682519e-07,0.0006066354064450289,0,PASS
head,0,3,1,calibrated,1;1;1;1,3448341;152154,16420,16400,154009,355,95525,7.788435249511672e-07,9.876512522487221e-05,0,PASS
full,0,-1,-1,calibrated,1;1;1;1,3448341;152154,65680,65600,615889,1412,382154,9.316367832745698e-07,0.0006066354064450289,0,PASS
head,1,0,1,calibrated,1;1;1;1,2753257;111300,16420,16400,114122,355,50240,2.710881394918374e-06,0.01124417129620184,0,PASS
head,1,1,1,calibrated,1;1;1;1,2753257;111300,16420,16400,118820,351,50237,2.9041002704843777e-06,0.0011946359977387416,0,PASS
head,1,2,1,calibrated,1;1;1;1,2753257;111300,16420,16400,117995,355,50248,2.715298556665857e-06,0.0006066354064450289,0,PASS
head,1,3,1,calibrated,1;1;1;1,2753257;111300,16420,16400,115751,351,50237,3.1735920682507412e-06,0.0010481871430705933,0,PASS
full,1,-1,-1,calibrated,1;1;1;1,2753257;111300,65680,65600,460477,1412,200962,3.1735920682507412e-06,0.01124417129620184,0,PASS
