seed,kind,head,worker,assignment,request_payload_bytes,response_payload_bytes,elapsed_us,decode_us,layer_norm_us,projection_us,attention_us,norm_kernel_max_abs,norm_official_max_abs,norm_official_failed,context_kernel_max_abs,context_official_max_abs,context_official_failed,status
0,head,0,0,0;1;0;1,32784,32796,2407015,2,359255,264209,1697537,7.152557373046875e-07,8.202344179153442e-05,0,4.1544437408447266e-05,0.00032830238342285156,0,PASS
0,head,1,1,0;1;0;1,32784,32796,2427317,2,360389,264224,1697975,7.152557373046875e-07,9.751319885253906e-05,0,4.476308822631836e-05,0.00025486794766038656,0,PASS
0,head,2,0,0;1;0;1,32784,32796,2435954,2,360782,267274,1693400,9.5367431640625e-07,7.653236389160156e-05,0,4.273653030395508e-05,0.0003527402877807617,0,PASS
0,head,3,1,0;1;0;1,32784,32796,2425626,2,360297,266197,1697496,7.152557373046875e-07,8.285045623779297e-05,0,3.3833086490631104e-05,0.0003209710121154785,0,PASS
0,full,-1,-1,0;1;0;1,131136,131184,4859785,4,720686,531483,3395471,9.5367431640625e-07,9.751319885253906e-05,0,4.476308822631836e-05,0.0003527402877807617,0,PASS
1,head,0,0,0;1;0;1,32784,32796,4424396,2,359600,265297,1699356,7.152557373046875e-07,7.492303848266602e-05,0,2.2880733013153076e-05,0.0004018545150756836,0,PASS
1,head,1,1,0;1;0;1,32784,32796,2416944,2,361823,263908,1699243,7.152557373046875e-07,8.165836334228516e-05,0,2.041459083557129e-05,0.00027889013290405273,0,PASS
1,head,2,0,0;1;0;1,32784,32796,2428201,2,358915,264025,1695542,7.152557373046875e-07,7.49826431274414e-05,0,3.230571746826172e-05,0.0002896115183830261,0,PASS
1,head,3,1,0;1;0;1,32784,32796,2430881,1,360396,264318,1695401,7.152557373046875e-07,7.56978988647461e-05,0,6.4849853515625e-05,0.00033117085695266724,0,PASS
1,full,-1,-1,0;1;0;1,131136,131184,6855521,4,722219,529322,3394898,7.152557373046875e-07,8.165836334228516e-05,0,6.4849853515625e-05,0.0004018545150756836,0,PASS
2,head,0,0,0;1;0;1,32784,32796,4412628,2,359876,264069,1699179,7.152557373046875e-07,7.772445678710938e-05,0,1.0572373867034912e-05,0.000353008508682251,0,PASS
2,head,1,1,0;1;0;1,32784,32796,4438989,2,359240,264929,1699294,7.152557373046875e-07,7.700920104980469e-05,0,8.977949619293213e-06,0.000269472599029541,0,PASS
2,head,2,0,0;1;0;1,32784,32796,2412439,2,357605,264058,1693985,5.960464477539062e-07,7.796287536621094e-05,0,1.1920928955078125e-05,0.0003363117575645447,0,PASS
2,head,3,1,0;1;0;1,32784,32796,2404405,2,357532,264055,1695204,7.152557373046875e-07,8.320808410644531e-05,0,9.59634780883789e-06,0.0003819763660430908,0,PASS
2,full,-1,-1,0;1;0;1,131136,131184,6846126,4,717481,528984,3394498,7.152557373046875e-07,8.320808410644531e-05,0,1.1920928955078125e-05,0.0003819763660430908,0,PASS
3,head,0,0,0;1;0;1,32784,32796,4442723,2,361566,265951,1690946,1.1920928955078125e-06,8.726119995117188e-05,0,2.8543698135763407e-05,0.0003325939178466797,0,PASS
3,head,1,1,0;1;0;1,32784,32796,4439554,2,359373,265745,1697089,1.430511474609375e-06,8.749961853027344e-05,0,2.3980624973773956e-05,0.00040072202682495117,0,PASS
3,head,2,0,0;1;0;1,32784,32796,2433584,2,358338,264362,1701347,9.5367431640625e-07,9.1552734375e-05,0,8.573755621910095e-06,0.00040289759635925293,0,PASS
3,head,3,1,0;1;0;1,32784,32796,2432645,2,359159,264366,1698949,9.5367431640625e-07,8.821487426757812e-05,0,6.365776062011719e-05,0.00041806697845458984,0,PASS
3,full,-1,-1,0;1;0;1,131136,131184,6878547,4,719904,530313,3396038,1.430511474609375e-06,9.1552734375e-05,0,6.365776062011719e-05,0.00041806697845458984,0,PASS
4,head,0,0,0;1;0;1,32784,32796,4428913,2,358707,266320,1696760,7.152557373046875e-07,9.742379188537598e-05,0,3.925524652004242e-06,0.0004474520683288574,0,PASS
4,head,1,1,0;1;0;1,32784,32796,4448721,2,360224,266079,1697736,7.152557373046875e-07,9.47713851928711e-05,0,4.67000063508749e-06,0.00029528141021728516,0,PASS
4,head,2,0,0;1;0;1,32784,32796,2436015,2,360371,264267,1699461,7.152557373046875e-07,9.059906005859375e-05,0,3.1441450119018555e-06,0.0002874433994293213,0,PASS
4,head,3,1,0;1;0;1,32784,32796,2437231,2,358923,264334,1701954,9.5367431640625e-07,0.00010144710540771484,0,4.796311259269714e-06,0.00029844045639038086,0,PASS
4,full,-1,-1,0;1;0;1,131136,131184,6890172,4,719147,530587,3399690,9.5367431640625e-07,0.00010144710540771484,0,4.796311259269714e-06,0.0004474520683288574,0,PASS
