kind,causal,head,worker,scheduler,assignment,calibration_us,request_payload_bytes,response_payload_bytes,elapsed_us,decode_us,compute_us,max_abs_error,max_relative_error,failed_elements,status
head,0,0,0,calibrated,0;1;0;1,1516594;1517436,16420,16400,1435610,460,1381306,7.292132556679931e-07,2.36891873763199e-05,0,PASS
head,0,1,1,calibrated,0;1;0;1,1516594;1517436,16420,16400,1440830,540,1382238,8.124274937237885e-07,2.484443286564312e-05,0,PASS
head,0,2,0,calibrated,0;1;0;1,1516594;1517436,16420,16400,1436782,533,1382486,9.516693840749824e-07,0.0005689758030343013,0,PASS
head,0,3,1,calibrated,0;1;0;1,1516594;1517436,16420,16400,1442180,492,1383153,8.086458473388625e-07,0.0001606258244847669,0,PASS
full,0,-1,-1,calibrated,0;1;0;1,1516594;1517436,65680,65600,2889329,2025,2765391,9.516693840749824e-07,0.0005689758030343013,0,PASS
head,1,0,1,calibrated,1;0;1;0,761318;760201,16420,16400,752800,536,697098,2.710881394918374e-06,0.011319289135636188,0,PASS
head,1,1,0,calibrated,1;0;1;0,761318;760201,16420,16400,751859,529,697273,2.658626547358267e-06,0.000741396816762647,0,PASS
head,1,2,1,calibrated,1;0;1;0,761318;760201,16420,16400,750483,398,697544,2.2804230699335903e-06,0.00017744122010655958,0,PASS
head,1,3,0,calibrated,1;0;1;0,761318;760201,16420,16400,759500,404,698254,3.1735920682507412e-06,0.0038727809259595553,0,PASS
full,1,-1,-1,calibrated,1;0;1;0,761318;760201,65680,65600,1512381,1867,1395527,3.1735920682507412e-06,0.011319289135636188,0,PASS
