kind,causal,head,worker,scheduler,assignment,calibration_us,request_payload_bytes,response_payload_bytes,elapsed_us,decode_us,compute_us,max_abs_error,max_relative_error,failed_elements,status
head,0,0,0,round-robin,0;1;0;1,,16420,16400,1436033,536,1381809,7.292132556679931e-07,2.36891873763199e-05,0,PASS
head,0,1,1,round-robin,0;1;0;1,,16420,16400,1435430,533,1382191,8.124274937237885e-07,2.484443286564312e-05,0,PASS
head,0,2,0,round-robin,0;1;0;1,,16420,16400,1442476,510,1383035,9.516693840749824e-07,0.0005689758030343013,0,PASS
head,0,3,1,round-robin,0;1;0;1,,16420,16400,1437954,469,1383595,8.086458473388625e-07,0.0001606258244847669,0,PASS
full,0,-1,-1,round-robin,0;1;0;1,,65680,65600,2881156,2048,2765786,9.516693840749824e-07,0.0005689758030343013,0,PASS
head,1,0,0,round-robin,0;1;0;1,,16420,16400,761413,512,697009,2.710881394918374e-06,0.011319289135636188,0,PASS
head,1,1,1,round-robin,0;1;0;1,,16420,16400,757514,535,697301,2.658626547358267e-06,0.000741396816762647,0,PASS
head,1,2,0,round-robin,0;1;0;1,,16420,16400,754127,431,698082,2.2804230699335903e-06,0.00017744122010655958,0,PASS
head,1,3,1,round-robin,0;1;0;1,,16420,16400,757601,399,698261,3.1735920682507412e-06,0.0038727809259595553,0,PASS
full,1,-1,-1,round-robin,0;1;0;1,,65680,65600,1523384,1877,1395562,3.1735920682507412e-06,0.011319289135636188,0,PASS
