kind,causal,head,worker,scheduler,assignment,calibration_us,request_payload_bytes,response_payload_bytes,elapsed_us,decode_us,compute_us,max_abs_error,max_relative_error,failed_elements,status
head,0,0,0,round-robin,0;0;0;0,,16420,16400,1437252,474,1381421,7.292132556679931e-07,2.36891873763199e-05,0,PASS
head,0,1,0,round-robin,0;0;0;0,,16420,16400,1445152,474,1381403,8.124274937237885e-07,2.484443286564312e-05,0,PASS
head,0,2,0,round-robin,0;0;0;0,,16420,16400,1441229,510,1381687,9.516693840749824e-07,0.0005689758030343013,0,PASS
head,0,3,0,round-robin,0;0;0;0,,16420,16400,1438708,530,1384056,8.086458473388625e-07,0.0001606258244847669,0,PASS
full,0,-1,-1,round-robin,0;0;0;0,,65680,65600,5767276,1988,5528567,9.516693840749824e-07,0.0005689758030343013,0,PASS
head,1,0,0,round-robin,0;0;0;0,,16420,16400,750345,398,696341,2.710881394918374e-06,0.011319289135636188,0,PASS
head,1,1,0,round-robin,0;0;0;0,,16420,16400,753096,537,696720,2.658626547358267e-06,0.000741396816762647,0,PASS
head,1,2,0,round-robin,0;0;0;0,,16420,16400,755553,533,697721,2.2804230699335903e-06,0.00017744122010655958,0,PASS
head,1,3,0,round-robin,0;0;0;0,,16420,16400,764489,398,699573,3.1735920682507412e-06,0.0038727809259595553,0,PASS
full,1,-1,-1,round-robin,0;0;0;0,,65680,65600,3021576,1866,2790355,3.1735920682507412e-06,0.011319289135636188,0,PASS
