kind,causal,head,worker,scheduler,assignment,calibration_us,request_payload_bytes,response_payload_bytes,elapsed_us,decode_us,compute_us,max_abs_error,max_relative_error,failed_elements,status
head,0,0,0,round-robin,0;0;0;0,,16420,16400,1433846,405,1381681,7.292132556679931e-07,2.36891873763199e-05,0,PASS
head,0,1,0,round-robin,0;0;0;0,,16420,16400,1493805,405,1382066,8.124274937237885e-07,2.484443286564312e-05,0,PASS
head,0,2,0,round-robin,0;0;0;0,,16420,16400,1440300,536,1383585,9.516693840749824e-07,0.0005689758030343013,0,PASS
head,0,3,0,round-robin,0;0;0;0,,16420,16400,1440450,404,1384081,8.086458473388625e-07,0.0001606258244847669,0,PASS
full,0,-1,-1,round-robin,0;0;0;0,,65680,65600,5845010,1750,5531413,9.516693840749824e-07,0.0005689758030343013,0,PASS
head,1,0,0,round-robin,0;0;0;0,,16420,16400,747753,535,697564,2.710881394918374e-06,0.011319289135636188,0,PASS
head,1,1,0,round-robin,0;0;0;0,,16420,16400,736359,404,697633,2.658626547358267e-06,0.000741396816762647,0,PASS
head,1,2,0,round-robin,0;0;0;0,,16420,16400,740727,531,698034,2.2804230699335903e-06,0.00017744122010655958,0,PASS
head,1,3,0,round-robin,0;0;0;0,,16420,16400,741432,478,698595,3.1735920682507412e-06,0.0038727809259595553,0,PASS
full,1,-1,-1,round-robin,0;0;0;0,,65680,65600,2978877,1948,2791826,3.1735920682507412e-06,0.011319289135636188,0,PASS
